ticker_code,stock_code,stock_name,market
1569.TW,1569,濱川,TPEx
1570.TW,1570,力肯,TPEx
1580.TW,1580,新麥,TPEx
1582.TW,1582,信錦,TWSE
1583.TW,1583,程泰,TWSE
1584.TW,1584,精剛,TPEx
1586.TW,1586,和勤,TPEx
1587.TW,1587,吉茂,TWSE
1589.TW,1589,永冠-KY,TWSE
1590.TW,1590,亞德客-KY,TWSE
1591.TW,1591,駿吉-KY,TPEx
1593.TW,1593,祺驊,TPEx
1595.TW,1595,川寶,TPEx
1597.TW,1597,直得,TWSE
1598.TW,1598,岱宇,TWSE
1599.TW,1599,宏佳騰,TPEx
1603.TW,1603,華電,TWSE
1604.TW,1604,聲寶,TWSE
1605.TW,1605,華新,TWSE
1608.TW,1608,華榮,TWSE
1609.TW,1609,大亞,TWSE
1611.TW,1611,中電,TWSE
1612.TW,1612,宏泰,TWSE
1614.TW,1614,三洋電,TWSE
1615.TW,1615,大山,TWSE
1616.TW,1616,億泰,TWSE
1617.TW,1617,榮星,TWSE
1618.TW,1618,合機,TWSE
1623.TW,1623,大東電,TWSE
1626.TW,1626,艾美特-KY,TWSE
1702.TW,1702,南僑,TWSE
1707.TW,1707,葡萄王,TWSE
1708.TW,1708,東鹼,TWSE
1709.TW,1709,和益,TWSE
1710.TW,1710,東聯,TWSE
1711.TW,1711,永光,TWSE
1712.TW,1712,興農,TWSE
1713.TW,1713,國化,TWSE
1714.TW,1714,和桐,TWSE
1717.TW,1717,長興,TWSE
1718.TW,1718,中纖,TWSE
1720.TW,1720,生達,TWSE
1721.TW,1721,三晃,TWSE
1722.TW,1722,台肥,TWSE
1723.TW,1723,中碳,TWSE
1725.TW,1725,元禎,TWSE
1726.TW,1726,永記,TWSE
1727.TW,1727,中華化,TWSE
1730.TW,1730,花仙子,TWSE
1731.TW,1731,美吾華,TWSE
1732.TW,1732,毛寶,TWSE
1733.TW,1733,五鼎,TWSE
1734.TW,1734,杏輝,TWSE
1735.TW,1735,日勝化,TWSE
1736.TW,1736,喬山,TWSE
1737.TW,1737,臺鹽,TWSE
1742.TW,1742,台蠟,TPEx
1752.TW,1752,南光,TWSE
1760.TW,1760,寶齡富錦,TWSE
1762.TW,1762,中化生,TWSE
1773.TW,1773,勝一,TWSE
1776.TW,1776,展宇,TWSE
1777.TW,1777,生泰,TPEx
1781.TW,1781,合世,TPEx
1783.TW,1783,和康生,TWSE
1784.TW,1784,訊聯,TPEx
1785.TW,1785,光洋科,TPEx
1786.TW,1786,科妍,TWSE
1788.TW,1788,杏昌,TPEx
1789.TW,1789,神隆,TWSE
1795.TW,1795,美時,TWSE
1796.TW,1796,金穎生技,TPEx
1799.TW,1799,易威,TPEx
1802.TW,1802,台玻,TWSE
1805.TW,1805,寶徠,TWSE
1806.TW,1806,冠軍,TWSE
1808.TW,1808,潤隆,TWSE
1809.TW,1809,中釉,TWSE
1810.TW,1810,和成,TWSE
1813.TW,1813,寶利徠,TPEx
1815.TW,1815,富喬,TPEx
1817.TW,1817,凱撒衛,TWSE
1903.TW,1903,士紙,TWSE
1904.TW,1904,正隆,TWSE
1905.TW,1905,華紙,TWSE
1906.TW,1906,寶隆,TWSE
1907.TW,1907,永豐餘,TWSE
1909.TW,1909,榮成,TWSE
2002.TW,2002,中鋼,TWSE
2006.TW,2006,東和鋼鐵,TWSE
2007.TW,2007,燁興,TWSE
2008.TW,2008,高興昌,TWSE
